Date,open_price,high_price,low_price,last_price,vwap_price,change_prev_close_percentage,num_trades,volume,turnover
2023-10-20,169.00,170.00,167.00,167.00,169.25503355705,-1.76,9,149.00000,25219.00
2023-10-19,170.00,171.00,170.00,170.00,170.44444444444,-0.58,9,225.00000,38350.00
2023-10-18,172.00,172.00,170.00,171.00,170.83928571429,-1.16,4,56.00000,9567.00
2023-10-17,173.00,173.00,171.00,173.00,172.31761006289,-1.14,12,318.00000,54797.00
2023-10-16,174.00,175.00,172.00,175.00,173.98268398268,0.57,8,231.00000,40190.00
2023-10-13,174.00,174.00,174.00,174.00,174.00000000000,0.00,2,6.00000,1044.00
2023-10-12,175.00,176.00,174.00,174.00,174.99367088608,-1.14,10,158.00000,27649.00
2023-10-11,177.00,177.00,176.00,176.00,176.03225806452,-0.56,2,31.00000,5457.00
2023-10-10,176.00,178.00,173.00,177.00,175.52877138414,2.31,22,643.00000,112865.00
2023-10-09,177.00,177.00,172.00,173.00,173.56872037915,-3.35,9,211.00000,36623.00
2023-10-06,182.00,182.00,179.00,179.00,180.83132530120,-1.10,7,83.00000,15009.00
2023-10-05,181.00,181.00,180.00,181.00,180.97727272727,1.12,10,220.00000,39815.00
2023-10-04,183.00,183.00,178.00,179.00,180.20402298851,-2.19,21,348.00000,62711.00
2023-10-03,183.00,183.00,183.00,183.00,183.00000000000,0.00,2,29.00000,5307.00
2023-10-02,186.00,186.00,183.00,183.00,183.69230769231,0.00,3,13.00000,2388.00
2023-09-29,183.00,183.00,183.00,183.00,183.00000000000,-1.61,3,16.00000,2928.00
2023-09-28,186.00,186.00,182.00,186.00,184.94736842105,-0.53,5,19.00000,3514.00
2023-09-27,186.00,187.00,183.00,187.00,185.25287356322,-1.06,11,174.00000,32234.00
2023-09-26,187.00,189.00,187.00,189.00,187.32352941176,1.07,3,34.00000,6369.00
2023-09-22,183.00,187.00,183.00,187.00,185.31578947368,-0.53,3,19.00000,3521.00
2023-09-21,183.00,188.00,183.00,188.00,186.67424242424,-0.53,7,132.00000,24641.00
2023-09-20,189.00,189.00,189.00,189.00,189.00000000000,1.61,2,21.00000,3969.00
2023-09-19,184.00,186.00,182.00,186.00,183.34782608696,-0.53,7,46.00000,8434.00
2023-09-18,193.00,193.00,183.00,187.00,184.51563388289,-2.60,27,1759.00000,324563.00
2023-09-15,189.00,192.00,189.00,192.00,191.65258215962,1.59,9,426.00000,81644.00
2023-09-14,188.00,189.00,188.00,189.00,188.78947368421,0.53,4,114.00000,21522.00
2023-09-13,191.00,191.00,185.00,188.00,186.68800000000,-1.57,16,125.00000,23336.00
2023-09-12,192.00,193.00,191.00,191.00,191.72185430464,-1.55,8,151.00000,28950.00
2023-09-11,198.00,198.00,194.00,194.00,194.12403100775,-0.51,6,516.00000,100168.00
2023-09-08,197.00,198.00,195.00,195.00,196.73462783172,-1.02,22,618.00000,121582.00
2023-09-08,,197.00,197.00,197.00,197.00000000000,,1,2000.00000,394000.00
2023-09-07,193.00,200.00,190.00,197.00,197.11721611722,2.07,45,819.00000,161439.00
2023-09-06,185.00,193.00,185.00,193.00,188.50000000000,4.32,26,1128.00000,212628.00
2023-09-05,185.00,187.00,185.00,185.00,185.08591065292,0.00,30,582.00000,107720.00
2023-09-04,180.00,185.00,180.00,185.00,181.75931677019,2.78,38,644.00000,117053.00
2023-09-01,180.00,180.00,179.00,180.00,179.94090909091,0.00,14,220.00000,39587.00
2023-08-31,180.00,181.00,180.00,180.00,180.05555555556,0.00,7,72.00000,12964.00
2023-08-30,179.00,180.00,179.00,180.00,179.80861244019,0.00,16,209.00000,37580.00
2023-08-29,180.00,180.00,178.00,180.00,178.85370370370,0.00,10,540.00000,96581.00
2023-08-28,179.00,181.00,179.00,180.00,179.99431171786,0.56,21,879.00000,158215.00
2023-08-25,179.00,179.00,179.00,179.00,179.00000000000,0.56,2,22.00000,3938.00
2023-08-24,176.00,178.00,175.00,178.00,176.64755077658,0.00,11,837.00000,147854.00
2023-08-23,178.00,179.00,177.00,178.00,177.93910256410,-1.11,9,312.00000,55517.00
2023-08-22,181.00,181.00,180.00,180.00,180.05162523901,-1.10,18,523.00000,94167.00
2023-08-21,183.00,183.00,182.00,182.00,182.70503597122,-0.55,7,139.00000,25396.00
2023-08-18,183.00,183.00,183.00,183.00,183.00000000000,0.00,7,58.00000,10614.00
2023-08-17,179.00,183.00,178.00,183.00,179.75781250000,1.67,12,512.00000,92036.00
2023-08-16,178.00,180.00,178.00,180.00,178.29787234043,0.00,3,94.00000,16760.00
2023-08-14,180.00,180.00,180.00,180.00,180.00000000000,2.27,2,10.00000,1800.00
2023-08-11,179.00,180.00,176.00,176.00,178.73170731707,-1.12,9,164.00000,29312.00
2023-08-10,176.00,178.00,176.00,178.00,177.12621359223,1.14,7,103.00000,18244.00
2023-08-09,176.00,176.00,176.00,176.00,176.00000000000,0.57,2,20.00000,3520.00
2023-08-08,175.00,175.00,175.00,175.00,175.00000000000,-2.23,12,201.00000,35175.00
2023-08-07,173.00,179.00,173.00,179.00,174.40540540541,0.00,5,111.00000,19359.00
2023-08-04,173.00,179.00,173.00,179.00,174.56521739130,5.29,7,138.00000,24090.00
2023-08-03,172.00,172.00,168.00,170.00,169.73684210526,-3.95,12,190.00000,32250.00
2023-07-31,176.00,177.00,176.00,177.00,176.22222222222,2.91,4,36.00000,6344.00
2023-07-28,172.00,176.00,172.00,172.00,174.13559322034,-2.27,7,59.00000,10274.00
2023-07-27,179.00,179.00,165.00,176.00,170.47727272727,-1.68,25,352.00000,60008.00
2023-07-26,180.00,180.00,177.00,179.00,178.94444444444,-0.56,3,18.00000,3221.00
2023-07-25,180.00,180.00,180.00,180.00,180.00000000000,0.00,1,3.00000,540.00
2023-07-24,177.00,180.00,177.00,180.00,179.05263157895,0.00,3,19.00000,3402.00
2023-07-21,181.00,181.00,177.00,180.00,179.71559633028,0.00,10,109.00000,19589.00
2023-07-20,171.00,183.00,171.00,180.00,180.31118881119,1.12,17,572.00000,103138.00
2023-07-19,176.00,184.00,176.00,178.00,179.76555716353,1.71,23,691.00000,124218.00
2023-07-18,164.00,175.00,164.00,175.00,170.31433506045,10.76,28,579.00000,98612.00
2023-07-17,156.00,158.00,156.00,158.00,157.94413407821,0.64,10,179.00000,28272.00
2023-07-13,156.00,157.00,156.00,157.00,156.35897435897,1.95,4,234.00000,36588.00
2023-07-12,151.00,155.00,151.00,154.00,153.86309047238,3.36,17,1249.00000,192175.00
2023-07-11,149.00,149.00,149.00,149.00,149.00000000000,0.68,12,384.00000,57216.00
2023-07-10,147.00,148.00,147.00,148.00,147.98360655738,1.37,5,305.00000,45135.00
2023-07-07,146.00,146.00,146.00,146.00,146.00000000000,0.00,2,15.00000,2190.00
2023-07-06,146.00,146.00,146.00,146.00,146.00000000000,-0.68,6,108.00000,15768.00
